gfp,sample_id,gfp_norm
611.52,1,22.45829171551293
253.12,1,9.295922944516342
466.48,1,17.13164560350025
360.08,1,13.224067374610637
318.64,1,11.702168485464156
643.44,1,23.63056518417982
320.88,1,11.784433290282886
304.08,1,11.16744725414242
443.52,1,16.288431354108283
368.48,1,13.532560392680871
300.72,1,11.044050046914327
423.92,1,15.568614311944406
571.76,1,20.998091429980498
403.76,1,14.828231068575848
504.56,1,18.53014728541864
724.08,1,26.592098157654053
556.64,1,20.442803997454078
413.84,1,15.198422690260124
268.8,1,9.871776578247443
777.28,1,28.54588727209886
539.28,1,19.805251760108934
281.12,1,10.32423300475045
817.04,1,30.00608755763129
188.16,1,6.91024360477321
341.6,1,12.545382734856126
336.56,1,12.360286924013986
462.56,1,16.987682195067475
312.48,1,11.475940272212654
357.84,1,13.141802569791908
534.24,1,19.620155949266792
573.44,1,21.059790033594545
751.52,1,27.599842016683475
559.44,1,20.545635003477493
420,1,15.42465090351163
267.68,1,9.83064417583808
383.6,1,14.08784782520729
767.2,1,28.17569565041458
344.96,1,12.668779942084218
867.44,1,31.85704566605269
506.24,1,18.591845889032683
479.92,1,17.625234432412622
446.32,1,16.39126236013169
790.16,1,29.018909899806545
786.8,1,28.89551269257845
244.72,1,8.98742992644611
385.84,1,14.170112630026017
363.44,1,13.34746458183873
778.96,1,28.607585875712903
395.36002,1,14.5197387850128
355.04,1,13.038971563768499
437.36002,1,16.062203875363963
536.48,1,19.702420754085523
354.48,1,13.018405362563817
470.96,1,17.296175213137708
763.28,1,28.0317322419818
432.32,1,15.877107330014637
288.96,1,10.612159821616
370.16,1,13.594258996294917
454.72,1,16.699755378201925
590.8,1,21.69734227093969
498.4,1,18.303919072167133
638.4,1,23.445469373337676
357.84,1,13.141802569791908
593.6,1,21.800173276963104
595.84,1,21.88243808178183
707.28,1,25.975112121513583
391.44,1,14.37577464207284
385.28,1,14.149546428821333
338.8,1,12.442551728832715
554.96,1,20.381105393840034
362.88,1,13.326898380634047
590.8,1,21.69734227093969
430.08002,1,15.794843259703095
266.56,1,9.789511773428714
636.16,1,23.363204568518945
566.16,1,20.792429417933675
679.28,1,24.946802061279474
341.6,1,12.545382734856126
1252.72,1,46.00659209487402
514.08,1,18.879772705898237
310.8,1,11.414241668598606
627.76,1,23.05471155044872
385.84,1,14.170112630026017
702.8,1,25.810582511876124
623.84,1,22.910748142015944
511.84,1,18.797507901079506
682.64,1,25.07019926850757
652.4,1,23.959624403454733
360.08,1,13.224067374610637
343.28,1,12.607081338470172
584.08,1,21.45054785648351
333.2,1,12.236889716785893
391.44,1,14.37577464207284
341.6,1,12.545382734856126
543.76,1,19.96978136974639
365.68,1,13.42972938665746
607.04,1,22.293762105875476
359.52,1,13.203501173405954
406.56,1,14.931062074599257
683.76,1,25.111331670916933
470.96,1,17.296175213137708
859.04,1,31.548552647982454
555.52,1,20.401671595044714
810.88,1,29.779859344379787
404.32,1,14.848797269780528
403.76,1,14.828231068575848
405.44,1,14.889929672189893
863.52,1,31.713082257619913
337.12,1,12.38085312521867
482.16,1,17.707499237231353
339.92,1,12.48368413124208
462,1,16.967115993862794
431.2,1,15.835974927605273
370.16,1,13.594258996294917
426.16,1,15.650879116763136
504.56,1,18.53014728541864
538.16,1,19.764119357699567
307.44,1,11.290844461370513
407.12,1,14.951628275803941
482.72,1,17.728065438436033
394.24,1,14.478605648096252
320.32,1,11.763867089078204
311.36002,1,11.434808604310474
330.96,1,12.154624911967165
343.84,1,12.627647539674852
635.6,1,23.342638367314265
322.56,1,11.846131893896931
495.04,1,18.180521864939042
759.92,1,27.908335034753705
426.16,1,15.650879116763136
883.12,1,32.432899299783784
693.28,1,25.46095709139653
287.84,1,10.571027419206636
299.04,1,10.982351443300281
519.12,1,19.064868516740376
551.6,1,20.257708186611943
406,1,14.910495873394575
346.08,1,12.709912344493581
571.76,1,20.998091429980498
502.32,1,18.447882480599908
480.48,1,17.645800633617306
427.84,1,15.71257772037718
305.76,1,11.229145857756466
259.28,1,9.522151157767846
405.44,1,14.889929672189893
522.48,1,19.188265723968467
564.48,1,20.73073081431963
660.24,1,24.247551220320283
478.8,1,17.584102030003258
581.28,1,21.347716850460095
315.28,1,11.578771278236061
298.48,1,10.9617852420956
355.04,1,13.038971563768499
616.56,1,22.64338752635507
789.04,1,28.977777497397184
334.32,1,12.278022119195258
757.68,1,27.82607022993498
609.84,1,22.396593111898888
526.96,1,19.352795333605926
327.6,1,12.031227704739072
589.68,1,21.656209868530325
230.16,1,8.452708695124374
325.36002,1,11.94896363442753
625.52,1,22.972446745629988
477.68,1,17.542969627593894
431.76,1,15.856541128809956
393.12,1,14.437473245686885
707.28,1,25.975112121513583
340.48,1,12.504250332446762
356.72,1,13.100670167382544
378,1,13.882185813160467
497.84,1,18.283352870962453
501.2,1,18.406750078190544
383.6,1,14.08784782520729
372.4,1,13.676523801113644
463.68,1,17.028814597476842
367.36002,1,13.491428724778693
586.32,1,21.532812661302238
926.8,1,34.037062993749
460.32,1,16.905417390248747
570.64,1,20.956959027571134
367.36002,1,13.491428724778693
514.08,1,18.879772705898237
842.24,1,30.931566611841987
383.6,1,14.08784782520729
346.08,1,12.709912344493581
459.2,1,16.86428498783938
364.56,1,13.388596984248094
566.16,1,20.792429417933675
343.84,1,12.627647539674852
602,1,22.108666295033334
493.92,1,18.139389462529678
402.08,1,14.766532464961802
474.32,1,17.4195724203658
527.52,1,19.373361534810606
595.84,1,21.88243808178183
261.52,1,9.604415962586573
472.64,1,17.357873816751752
793.52,1,29.142307107034636
