Name,row,column,amount,date,hour,plate,well
2018-05-09_23,E,4,0.584,2018-05-16,12,yp15,E4
2018-05-09_24,F,4,0.577,2018-05-16,12,yp15,F4
2018-05-09_25,A,5,4.845,2018-05-16,12,yp15,A5
2018-05-09_26,B,5,9.092,2018-05-16,12,yp15,B5
2018-05-09_27,C,5,8.716,2018-05-16,12,yp15,C5
2018-05-09_28,D,5,8.736,2018-05-16,12,yp15,D5
2018-05-09_29,E,5,9.275,2018-05-16,12,yp15,E5
2018-05-09_30,F,5,9.083,2018-05-16,12,yp15,F5
2018-05-09_31,A,6,8.003,2018-05-16,12,yp15,A6
2018-05-09_32,B,6,9.251,2018-05-16,12,yp15,B6
2018-05-09_33,C,6,8.788,2018-05-16,12,yp15,C6
2018-05-09_34,D,6,8.171,2018-05-16,12,yp15,D6
2018-05-09_35,E,6,7.894,2018-05-16,12,yp15,E6
2018-05-09_36,F,6,8.861,2018-05-16,12,yp15,F6
2018-05-09_37,A,7,0.732,2018-05-16,12,yp15,A7
2018-05-09_38,B,7,0.701,2018-05-16,12,yp15,B7
2018-05-09_39,C,7,0.722,2018-05-16,12,yp15,C7
2018-05-09_40,D,7,0.643,2018-05-16,12,yp15,D7
2018-05-09_41,E,7,0.741,2018-05-16,12,yp15,E7
2018-05-09_42,F,7,0.695,2018-05-16,12,yp15,F7
2018-05-09_43,A,8,12.68,2018-05-16,12,yp15,A8
2018-05-09_44,B,8,9.273,2018-05-16,12,yp15,B8
2018-05-09_45,C,8,9.948,2018-05-16,12,yp15,C8
2018-05-09_46,D,8,9.307,2018-05-16,12,yp15,D8
2018-05-09_47,E,8,12.789,2018-05-16,12,yp15,E8
2018-05-09_48,F,8,6.578,2018-05-16,12,yp15,F8
2018-05-09_49,A,9,9.479,2018-05-16,12,yp15,A9
2018-05-09_50,B,9,10.105,2018-05-16,12,yp15,B9
2018-05-09_51,C,9,8.677,2018-05-16,12,yp15,C9
2018-05-09_52,D,9,12.032,2018-05-16,12,yp15,D9
2018-05-09_53,E,9,9.22,2018-05-16,12,yp15,E9
2018-05-09_54,F,9,9.611,2018-05-16,12,yp15,F9
2018-05-09_55,A,10,0,2018-05-16,12,yp15,A10
2018-05-09_56,B,10,0,2018-05-16,12,yp15,B10
2018-05-09_57,C,10,0,2018-05-16,12,yp15,C10
2018-05-09_58,D,10,0,2018-05-16,12,yp15,D10
2018-05-09_59,E,10,0,2018-05-16,12,yp15,E10
2018-05-09_60,F,10,0,2018-05-16,12,yp15,F10
