row,column,od,gfp,date,hour,plate,well
A,10,0.627,11744,2017-12-20,9,yp14,A10
A,11,0.044,186,2017-12-20,9,yp14,A11
A,12,0.04,228,2017-12-20,9,yp14,A12
B,1,0.612,3185,2017-12-20,9,yp14,B1
B,2,0.612,3598,2017-12-20,9,yp14,B2
B,3,0.632,5265,2017-12-20,9,yp14,B3
B,4,0.62,5375,2017-12-20,9,yp14,B4
B,5,0.635,7379,2017-12-20,9,yp14,B5
B,6,0.646,8114,2017-12-20,9,yp14,B6
B,7,0.661,9511,2017-12-20,9,yp14,B7
B,8,0.613,9697,2017-12-20,9,yp14,B8
B,9,0.619,9798,2017-12-20,9,yp14,B9
B,10,0.637,13311,2017-12-20,9,yp14,B10
B,11,0.042,223,2017-12-20,9,yp14,B11
B,12,0.044,198,2017-12-20,9,yp14,B12
C,1,0.616,3364,2017-12-20,9,yp14,C1
C,2,0.634,3453,2017-12-20,9,yp14,C2
C,3,0.609,4913,2017-12-20,9,yp14,C3
C,4,0.651,5622,2017-12-20,9,yp14,C4
C,5,0.643,8470,2017-12-20,9,yp14,C5
C,6,0.65,8223,2017-12-20,9,yp14,C6
C,7,0.59,8101,2017-12-20,9,yp14,C7
C,8,0.578,8410,2017-12-20,9,yp14,C8
C,9,0.756,11431,2017-12-20,9,yp14,C9
C,10,0.66,12045,2017-12-20,9,yp14,C10
C,11,0.04,200,2017-12-20,9,yp14,C11
C,12,0.041,169,2017-12-20,9,yp14,C12
D,1,0.637,1474,2017-12-20,9,yp14,D1
D,2,0.717,1393,2017-12-20,9,yp14,D2
D,3,0.613,1586,2017-12-20,9,yp14,D3
D,4,0.687,1443,2017-12-20,9,yp14,D4
D,5,0.629,1500,2017-12-20,9,yp14,D5
D,6,0.63,1498,2017-12-20,9,yp14,D6
D,7,0.783,1581,2017-12-20,9,yp14,D7
D,8,0.705,1446,2017-12-20,9,yp14,D8
D,9,0.774,1576,2017-12-20,9,yp14,D9
D,10,0.754,1630,2017-12-20,9,yp14,D10
D,11,0.04,167,2017-12-20,9,yp14,D11
D,12,0.04,184,2017-12-20,9,yp14,D12
E,1,0.752,1659,2017-12-20,9,yp14,E1
E,2,0.758,1479,2017-12-20,9,yp14,E2
E,3,0.631,1470,2017-12-20,9,yp14,E3
E,4,0.78,1490,2017-12-20,9,yp14,E4
E,5,0.67,1758,2017-12-20,9,yp14,E5
E,6,0.769,1461,2017-12-20,9,yp14,E6
E,7,0.719,1555,2017-12-20,9,yp14,E7
E,8,0.741,1453,2017-12-20,9,yp14,E8
E,9,0.496,1523,2017-12-20,9,yp14,E9
E,10,0.766,1580,2017-12-20,9,yp14,E10
E,11,0.042,218,2017-12-20,9,yp14,E11
E,12,0.041,250,2017-12-20,9,yp14,E12
F,1,0.044,1770,2017-12-20,9,yp14,F1
F,2,0.679,1621,2017-12-20,9,yp14,F2
F,3,0.654,1450,2017-12-20,9,yp14,F3
F,4,0.653,1710,2017-12-20,9,yp14,F4
F,5,0.778,1577,2017-12-20,9,yp14,F5
F,6,0.796,1628,2017-12-20,9,yp14,F6
F,7,0.673,1663,2017-12-20,9,yp14,F7
F,8,0.738,1471,2017-12-20,9,yp14,F8
F,9,0.761,1585,2017-12-20,9,yp14,F9
F,10,0.661,1633,2017-12-20,9,yp14,F10
F,11,0.04,197,2017-12-20,9,yp14,F11
F,12,0.689,1371,2017-12-20,9,yp14,F12
G,1,0.651,1927,2017-12-20,9,yp14,G1
G,2,0.614,1538,2017-12-20,9,yp14,G2
G,3,0.656,1442,2017-12-20,9,yp14,G3
G,4,0.778,1860,2017-12-20,9,yp14,G4
G,5,0.753,1558,2017-12-20,9,yp14,G5
G,6,0.686,1505,2017-12-20,9,yp14,G6
G,7,0.766,1606,2017-12-20,9,yp14,G7
